1	5	23
1	4	80
1	2	145
1	9	105
1	7	83
1	8	95
1	3	49
1	12	67
10	11	10
10	6	23
10	4	18
10	5	5
10	9	2
10	12	52
10	8	53
10	2	31
11	2	12
11	4	11
11	12	2
11	10	10
11	8	7
11	6	11
12	11	2
12	10	52
12	6	48
12	5	84
12	4	66
12	2	131
12	9	106
12	8	250
12	7	153
12	1	67
12	3	187
2	11	12
2	10	31
2	6	133
2	5	32
2	4	152
2	9	180
2	12	131
2	7	80
2	8	139
2	3	36
2	1	145
3	5	16
3	4	29
3	2	36
3	9	43
3	8	106
3	7	90
3	1	49
3	12	187
4	11	11
4	10	18
4	6	60
4	5	23
4	8	103
4	12	66
4	9	92
4	2	152
4	7	47
4	3	29
4	1	80
5	10	5
5	6	6
5	1	23
5	4	23
5	9	62
5	3	16
5	2	32
5	8	44
5	12	84
5	7	52
6	11	11
6	10	23
6	5	6
6	4	60
6	12	48
6	9	37
6	8	52
6	2	133
7	5	52
7	4	47
7	2	80
7	9	90
7	1	83
7	12	153
7	8	181
7	3	90
8	11	7
8	10	53
8	6	52
8	5	44
8	4	103
8	2	139
8	9	88
8	1	95
8	12	250
8	7	181
8	3	106
9	10	2
9	6	37
9	5	62
9	4	92
9	2	180
9	8	88
9	12	106
9	7	90
9	3	43
9	1	105
